competencia,fator,arquivo_origem
2019-09-01,1.072992,01_2021_art_33_normal_gab-1.xlsx
2019-10-01,1.07353,01_2021_art_33_normal_gab-1.xlsx
2019-11-01,1.073102,01_2021_art_33_normal_gab-1.xlsx
2019-12-01,1.067339,01_2021_art_33_normal_gab-1.xlsx
2020-01-01,1.054473,01_2021_art_33_normal_gab-1.xlsx
2020-02-01,1.052474,01_2021_art_33_normal_gab-1.xlsx
2020-03-01,1.050687,01_2021_art_33_normal_gab-1.xlsx
2020-04-01,1.0488,01_2021_art_33_normal_gab-1.xlsx
2020-05-01,1.051218,01_2021_art_33_normal_gab-1.xlsx
2020-06-01,1.053853,01_2021_art_33_normal_gab-1.xlsx
2020-07-01,1.050699,01_2021_art_33_normal_gab-1.xlsx
2020-08-01,1.046097,01_2021_art_33_normal_gab-1.xlsx
2020-09-01,1.042344,01_2021_art_33_normal_gab-1.xlsx
2020-10-01,1.033355,01_2021_art_33_normal_gab-1.xlsx
2020-11-01,1.024239,01_2021_art_33_normal_gab-1.xlsx
2020-12-01,1.0146,01_2021_art_33_normal_gab-1.xlsx
1994-07-01,9.671271,01_2022_art_175_idoso_gab-1.xlsx
1994-08-01,9.11696,01_2022_art_175_idoso_gab-1.xlsx
1994-09-01,8.644945,01_2022_art_175_idoso_gab-1.xlsx
1994-10-01,8.516344,01_2022_art_175_idoso_gab-1.xlsx
1994-11-01,8.360838,01_2022_art_175_idoso_gab-1.xlsx
1994-12-01,8.096092,01_2022_art_175_idoso_gab-1.xlsx
1995-01-01,7.922593,01_2022_art_175_idoso_gab-1.xlsx
1995-02-01,7.792454,01_2022_art_175_idoso_gab-1.xlsx
1995-03-01,7.716066,01_2022_art_175_idoso_gab-1.xlsx
1995-04-01,7.608784,01_2022_art_175_idoso_gab-1.xlsx
1995-05-01,7.465452,01_2022_art_175_idoso_gab-1.xlsx
1995-06-01,7.278388,01_2022_art_175_idoso_gab-1.xlsx
1995-07-01,7.14829,01_2022_art_175_idoso_gab-1.xlsx
1995-08-01,6.976664,01_2022_art_175_idoso_gab-1.xlsx
1995-09-01,6.906223,01_2022_art_175_idoso_gab-1.xlsx
1995-10-01,6.826356,01_2022_art_175_idoso_gab-1.xlsx
1995-11-01,6.732101,01_2022_art_175_idoso_gab-1.xlsx
1995-12-01,6.631965,01_2022_art_175_idoso_gab-1.xlsx
1996-01-01,6.524312,01_2022_art_175_idoso_gab-1.xlsx
1996-02-01,6.430426,01_2022_art_175_idoso_gab-1.xlsx
1996-03-01,6.385095,01_2022_art_175_idoso_gab-1.xlsx
1996-04-01,6.366631,01_2022_art_175_idoso_gab-1.xlsx
1996-05-01,6.322376,01_2022_art_175_idoso_gab-1.xlsx
1996-06-01,6.217916,01_2022_art_175_idoso_gab-1.xlsx
1996-07-01,6.142966,01_2022_art_175_idoso_gab-1.xlsx
1996-08-01,6.076731,01_2022_art_175_idoso_gab-1.xlsx
1996-09-01,6.076491,01_2022_art_175_idoso_gab-1.xlsx
1996-10-01,6.068603,01_2022_art_175_idoso_gab-1.xlsx
1996-11-01,6.055277,01_2022_art_175_idoso_gab-1.xlsx
1996-12-01,6.038367,01_2022_art_175_idoso_gab-1.xlsx
1997-01-01,5.985698,01_2022_art_175_idoso_gab-1.xlsx
1997-02-01,5.892592,01_2022_art_175_idoso_gab-1.xlsx
1997-03-01,5.867946,01_2022_art_175_idoso_gab-1.xlsx
1997-04-01,5.800661,01_2022_art_175_idoso_gab-1.xlsx
1997-05-01,5.766636,01_2022_art_175_idoso_gab-1.xlsx
1997-06-01,5.749388,01_2022_art_175_idoso_gab-1.xlsx
1997-07-01,5.709426,01_2022_art_175_idoso_gab-1.xlsx
1997-08-01,5.704288,01_2022_art_175_idoso_gab-1.xlsx
1997-09-01,5.704288,01_2022_art_175_idoso_gab-1.xlsx
1997-10-01,5.670835,01_2022_art_175_idoso_gab-1.xlsx
1997-11-01,5.651617,01_2022_art_175_idoso_gab-1.xlsx
1997-12-01,5.605093,01_2022_art_175_idoso_gab-1.xlsx
1998-01-01,5.566683,01_2022_art_175_idoso_gab-1.xlsx
1998-02-01,5.518122,01_2022_art_175_idoso_gab-1.xlsx
1998-03-01,5.517021,01_2022_art_175_idoso_gab-1.xlsx
1998-04-01,5.504364,01_2022_art_175_idoso_gab-1.xlsx
1998-05-01,5.504364,01_2022_art_175_idoso_gab-1.xlsx
1998-06-01,5.491731,01_2022_art_175_idoso_gab-1.xlsx
1998-07-01,5.476395,01_2022_art_175_idoso_gab-1.xlsx
1998-08-01,5.476395,01_2022_art_175_idoso_gab-1.xlsx
1998-09-01,5.476395,01_2022_art_175_idoso_gab-1.xlsx
1998-10-01,5.476395,01_2022_art_175_idoso_gab-1.xlsx
1998-11-01,5.476395,01_2022_art_175_idoso_gab-1.xlsx
1998-12-01,5.476395,01_2022_art_175_idoso_gab-1.xlsx
1999-01-01,5.423246,01_2022_art_175_idoso_gab-1.xlsx
1999-02-01,5.361589,01_2022_art_175_idoso_gab-1.xlsx
1999-03-01,5.133656,01_2022_art_175_idoso_gab-1.xlsx
1999-04-01,5.033984,01_2022_art_175_idoso_gab-1.xlsx
1999-05-01,5.032472,01_2022_art_175_idoso_gab-1.xlsx
1999-06-01,5.032472,01_2022_art_175_idoso_gab-1.xlsx
1999-07-01,4.981659,01_2022_art_175_idoso_gab-1.xlsx
1999-08-01,4.903693,01_2022_art_175_idoso_gab-1.xlsx
1999-09-01,4.833605,01_2022_art_175_idoso_gab-1.xlsx
1999-10-01,4.763577,01_2022_art_175_idoso_gab-1.xlsx
1999-11-01,4.675219,01_2022_art_175_idoso_gab-1.xlsx
1999-12-01,4.559854,01_2022_art_175_idoso_gab-1.xlsx
2000-01-01,4.504447,01_2022_art_175_idoso_gab-1.xlsx
2000-02-01,4.458969,01_2022_art_175_idoso_gab-1.xlsx
2000-03-01,4.450509,01_2022_art_175_idoso_gab-1.xlsx
2000-04-01,4.44251,01_2022_art_175_idoso_gab-1.xlsx
2000-05-01,4.436746,01_2022_art_175_idoso_gab-1.xlsx
2000-06-01,4.407221,01_2022_art_175_idoso_gab-1.xlsx
2000-07-01,4.36661,01_2022_art_175_idoso_gab-1.xlsx
2000-08-01,4.270103,01_2022_art_175_idoso_gab-1.xlsx
2000-09-01,4.193778,01_2022_art_175_idoso_gab-1.xlsx
2000-10-01,4.165035,01_2022_art_175_idoso_gab-1.xlsx
2000-11-01,4.149682,01_2022_art_175_idoso_gab-1.xlsx
2000-12-01,4.133563,01_2022_art_175_idoso_gab-1.xlsx
2001-01-01,4.102387,01_2022_art_175_idoso_gab-1.xlsx
2001-02-01,4.082385,01_2022_art_175_idoso_gab-1.xlsx
2001-03-01,4.068548,01_2022_art_175_idoso_gab-1.xlsx
2001-04-01,4.036259,01_2022_art_175_idoso_gab-1.xlsx
2001-05-01,3.991161,01_2022_art_175_idoso_gab-1.xlsx
2001-06-01,3.973677,01_2022_art_175_idoso_gab-1.xlsx
2001-07-01,3.916494,01_2022_art_175_idoso_gab-1.xlsx
2001-08-01,3.854059,01_2022_art_175_idoso_gab-1.xlsx
2001-09-01,3.81968,01_2022_art_175_idoso_gab-1.xlsx
2001-10-01,3.805223,01_2022_art_175_idoso_gab-1.xlsx
